,Year,amount_executed,Municipality,number_crimes
176,2017-01-01,4927965126.63,Huachinera,3
177,2017-01-01,4927965126.63,Huásabas,2
178,2017-01-01,4927965126.63,Huatabampo,527
179,2017-01-01,4927965126.63,Huépac,2
180,2017-01-01,4927965126.63,Imuris,83
181,2017-01-01,4927965126.63,Magdalena,284
182,2017-01-01,4927965126.63,Mazatán,10
183,2017-01-01,4927965126.63,Moctezuma,23
184,2017-01-01,4927965126.63,Naco,12
185,2017-01-01,4927965126.63,Nácori Chico,1
186,2017-01-01,4927965126.63,Nacozari de García,25
187,2017-01-01,4927965126.63,Navojoa,1976
188,2017-01-01,4927965126.63,Nogales,1240
189,2017-01-01,4927965126.63,Ónavas,3
190,2017-01-01,4927965126.63,Opodepe,9
191,2017-01-01,4927965126.63,Oquitoa,0
192,2017-01-01,4927965126.63,Pitiquito,28
193,2017-01-01,4927965126.63,Puerto Peñasco,242
194,2017-01-01,4927965126.63,Quiriego,57
195,2017-01-01,4927965126.63,Rayón,3
196,2017-01-01,4927965126.63,Rosario,86
197,2017-01-01,4927965126.63,Sahuaripa,38
198,2017-01-01,4927965126.63,San Felipe de Jesús,5
199,2017-01-01,4927965126.63,San Javier,10
200,2017-01-01,4927965126.63,San Luis Río Colorado,1181
201,2017-01-01,4927965126.63,San Miguel de Horcasitas,42
202,2017-01-01,4927965126.63,San Pedro de la Cueva,2
203,2017-01-01,4927965126.63,Santa Ana,108
204,2017-01-01,4927965126.63,Santa Cruz,2
205,2017-01-01,4927965126.63,Sáric,6
206,2017-01-01,4927965126.63,Soyopa,12
207,2017-01-01,4927965126.63,Suaqui Grande,3
208,2017-01-01,4927965126.63,Tepache,2
209,2017-01-01,4927965126.63,Trincheras,10
210,2017-01-01,4927965126.63,Tubutama,4
211,2017-01-01,4927965126.63,Ures,64
212,2017-01-01,4927965126.63,Villa Hidalgo,7
213,2017-01-01,4927965126.63,Villa Pesqueira,8
214,2017-01-01,4927965126.63,Yécora,41
215,2017-01-01,4927965126.63,General Plutarco Elías Calles,80
216,2017-01-01,4927965126.63,Benito Juárez,127
217,2017-01-01,4927965126.63,San Ignacio Río Muerto,56
218,2017-01-01,4927965126.63,No Informado,19
219,2018-01-01,5620885256.43,Aconchi,13
220,2018-01-01,5620885256.43,Agua Prieta,307
221,2018-01-01,5620885256.43,Álamos,96
222,2018-01-01,5620885256.43,Altar,3
223,2018-01-01,5620885256.43,Arivechi,2
224,2018-01-01,5620885256.43,Arizpe,3
225,2018-01-01,5620885256.43,Atil,0
226,2018-01-01,5620885256.43,Bacadéhuachi,0
227,2018-01-01,5620885256.43,Bacanora,3
228,2018-01-01,5620885256.43,Bacerac,0
229,2018-01-01,5620885256.43,Bacoachi,6
230,2018-01-01,5620885256.43,Bácum,83
231,2018-01-01,5620885256.43,Banámichi,5
232,2018-01-01,5620885256.43,Baviácora,7
233,2018-01-01,5620885256.43,Bavispe,0
234,2018-01-01,5620885256.43,Benjamín Hill,42
235,2018-01-01,5620885256.43,Caborca,507
236,2018-01-01,5620885256.43,Cajeme,3774
237,2018-01-01,5620885256.43,Cananea,28
238,2018-01-01,5620885256.43,Carbó,18
239,2018-01-01,5620885256.43,La Colorada,14
240,2018-01-01,5620885256.43,Cucurpe,7
241,2018-01-01,5620885256.43,Cumpas,20
242,2018-01-01,5620885256.43,Divisaderos,1
243,2018-01-01,5620885256.43,Empalme,263
244,2018-01-01,5620885256.43,Etchojoa,170
245,2018-01-01,5620885256.43,Fronteras,18
246,2018-01-01,5620885256.43,Granados,2
247,2018-01-01,5620885256.43,Guaymas,482
248,2018-01-01,5620885256.43,Hermosillo,7255
249,2018-01-01,5620885256.43,Huachinera,1
250,2018-01-01,5620885256.43,Huásabas,1
251,2018-01-01,5620885256.43,Huatabampo,431
252,2018-01-01,5620885256.43,Huépac,0
253,2018-01-01,5620885256.43,Imuris,52
254,2018-01-01,5620885256.43,Magdalena,183
255,2018-01-01,5620885256.43,Mazatán,10
256,2018-01-01,5620885256.43,Moctezuma,6
257,2018-01-01,5620885256.43,Naco,3
258,2018-01-01,5620885256.43,Nácori Chico,1
259,2018-01-01,5620885256.43,Nacozari de García,23
260,2018-01-01,5620885256.43,Navojoa,1408
261,2018-01-01,5620885256.43,Nogales,1438
262,2018-01-01,5620885256.43,Ónavas,5
263,2018-01-01,5620885256.43,Opodepe,4
264,2018-01-01,5620885256.43,Oquitoa,1
265,2018-01-01,5620885256.43,Pitiquito,22
266,2018-01-01,5620885256.43,Puerto Peñasco,170
267,2018-01-01,5620885256.43,Quiriego,5
268,2018-01-01,5620885256.43,Rayón,5
269,2018-01-01,5620885256.43,Rosario,15
270,2018-01-01,5620885256.43,Sahuaripa,22
271,2018-01-01,5620885256.43,San Felipe de Jesús,0
272,2018-01-01,5620885256.43,San Javier,3
273,2018-01-01,5620885256.43,San Luis Río Colorado,890
274,2018-01-01,5620885256.43,San Miguel de Horcasitas,23
275,2018-01-01,5620885256.43,San Pedro de la Cueva,2
276,2018-01-01,5620885256.43,Santa Ana,74
277,2018-01-01,5620885256.43,Santa Cruz,1
278,2018-01-01,5620885256.43,Sáric,0
279,2018-01-01,5620885256.43,Soyopa,6
280,2018-01-01,5620885256.43,Suaqui Grande,3
281,2018-01-01,5620885256.43,Tepache,4
282,2018-01-01,5620885256.43,Trincheras,4
283,2018-01-01,5620885256.43,Tubutama,2
284,2018-01-01,5620885256.43,Ures,28
285,2018-01-01,5620885256.43,Villa Hidalgo,1
286,2018-01-01,5620885256.43,Villa Pesqueira,4
287,2018-01-01,5620885256.43,Yécora,32
288,2018-01-01,5620885256.43,General Plutarco Elías Calles,47
289,2018-01-01,5620885256.43,Benito Juárez,80
290,2018-01-01,5620885256.43,San Ignacio Río Muerto,44
291,2018-01-01,5620885256.43,No Informado,14
292,2019-01-01,5882068944.27,Aconchi,17
293,2019-01-01,5882068944.27,Agua Prieta,732
294,2019-01-01,5882068944.27,Álamos,125
295,2019-01-01,5882068944.27,Altar,15
296,2019-01-01,5882068944.27,Arivechi,2
297,2019-01-01,5882068944.27,Arizpe,1
298,2019-01-01,5882068944.27,Atil,0
299,2019-01-01,5882068944.27,Bacadéhuachi,1
300,2019-01-01,5882068944.27,Bacanora,1
301,2019-01-01,5882068944.27,Bacerac,0
302,2019-01-01,5882068944.27,Bacoachi,6
303,2019-01-01,5882068944.27,Bácum,102
304,2019-01-01,5882068944.27,Banámichi,2
305,2019-01-01,5882068944.27,Baviácora,10
306,2019-01-01,5882068944.27,Bavispe,5
307,2019-01-01,5882068944.27,Benjamín Hill,30
308,2019-01-01,5882068944.27,Caborca,848
309,2019-01-01,5882068944.27,Cajeme,5797
310,2019-01-01,5882068944.27,Cananea,198
311,2019-01-01,5882068944.27,Carbó,30
312,2019-01-01,5882068944.27,La Colorada,12
313,2019-01-01,5882068944.27,Cucurpe,10
314,2019-01-01,5882068944.27,Cumpas,9
315,2019-01-01,5882068944.27,Divisaderos,2
316,2019-01-01,5882068944.27,Empalme,412
317,2019-01-01,5882068944.27,Etchojoa,240
318,2019-01-01,5882068944.27,Fronteras,33
319,2019-01-01,5882068944.27,Granados,2
320,2019-01-01,5882068944.27,Guaymas,628
321,2019-01-01,5882068944.27,Hermosillo,8550
322,2019-01-01,5882068944.27,Huachinera,2
323,2019-01-01,5882068944.27,Huásabas,1
324,2019-01-01,5882068944.27,Huatabampo,394
325,2019-01-01,5882068944.27,Huépac,1
326,2019-01-01,5882068944.27,Imuris,59
327,2019-01-01,5882068944.27,Magdalena,199
328,2019-01-01,5882068944.27,Mazatán,8
329,2019-01-01,5882068944.27,Moctezuma,4
330,2019-01-01,5882068944.27,Naco,32
